month_date,total_ecl,nco_amount,provision,alll_reserve,nco_coverage_ratio
2014-07-01,15239396.292100603,5011966.714426608,6587276.251451607,15239396.292100603,0.32230617020808905
2014-08-01,16054118.702014053,6615747.941629758,7430470.351543209,16054118.702014053,0.31215737587594405
2014-09-01,16242877.221327454,5026409.29701405,5215167.816327451,16242877.221327454,0.2998340721231627
2014-10-01,18506077.88100876,6733534.565014964,8996735.22469627,18506077.88100876,0.31716048106092676
2014-11-01,19658400.675790403,6699950.870293554,7852273.665075198,19658400.675790403,0.3153268691846448
2014-12-01,19725748.085479517,7963140.843907963,8030488.253597076,19725748.085479517,0.29531204018878665
2015-01-01,21689730.875948846,9185585.812777327,11149568.603246657,21689730.875948846,0.2991712540941181
2015-02-01,22669909.230113994,9593593.888281342,10573772.24244649,22669909.230113994,0.2913831217560505
2015-03-01,23834307.012535784,11008601.315716973,12172999.098138763,23834307.012535784,0.28378259223167784
2015-04-01,25593079.67545966,11446794.57805785,13205567.240981726,25593079.67545966,0.28370238514841933
2015-05-01,27009070.08503655,13029930.15607525,14445920.56565214,27009070.08503655,0.2789389379673658
2015-06-01,28151917.729154047,9238056.529879525,10380904.173997022,28151917.729154047,0.27721319012148854
2015-07-01,30541533.46386342,10670634.851936894,13060250.586646268,30541533.46386342,0.2848705273284832
2015-08-01,32030587.21044145,11101459.519030929,12590513.265608959,32030587.21044145,0.2867614054645255
2015-09-01,33039245.597069256,10189070.715481227,11197729.102109032,33039245.597069256,0.28272416235385794
2015-10-01,35184329.509607926,14789164.30131441,16934248.21385308,35184329.509607926,0.28166395169623837
2015-11-01,36526904.38226095,14441968.18642381,15784543.059076833,36526904.38226095,0.27534641099538576
2015-12-01,38529374.91261429,16927596.747356668,18930067.277710013,38529374.91261429,0.2720569593055612
2016-01-01,39445414.92305205,17869837.358639736,18785877.369077493,39445414.92305205,0.2624328309030687
2016-02-01,40822141.81321961,22796403.89651922,24173130.786686778,40822141.81321961,0.2496621742482559
2016-03-01,43380022.65596941,21676575.83114373,24234456.673893534,43380022.65596941,0.24905641934859502
2016-04-01,43564123.606984444,21555268.493755143,21739369.444770176,43564123.606984444,0.23639414554274588
2016-05-01,43338890.018519446,25934818.99561696,25709585.407151964,43338890.018519446,0.21978143927947966
2016-06-01,43274813.77386653,17891853.130623803,17827776.885970883,43274813.77386653,0.2102304497471869
