month_date,dpd_bucket,grade,balance,count,gco_amount,recovery_amount,nco_amount,loss_rate,total_ecl_simple,total_ecl_dcf,alll_ratio_simple,alll_ratio_dcf
2014-10-01,30+,B,2614541.2570666554,335,1343765.3198725139,601480.76,742284.5598725139,0.0007522644666843138,2459058.1883865315,-3485856.827681491,0.0024921198643145692,-0.003532723660403315
2014-10-01,30+,C,4401669.631579222,418,2489469.8343972615,452821.45,2036648.3843972615,0.001896048034744821,4936562.085463154,-5268605.621372765,0.004595765725809491,-0.004904886582671319
2014-10-01,30+,D,3862089.150736526,356,1809064.2265236517,426723.84,1382340.3865236517,0.00197390906937979,4857121.962074026,-3846041.5019303104,0.006935713653084128,-0.005491944152021211
2014-10-01,30+,E,3549847.216885135,230,1607430.204810351,190222.53,1417207.6748103509,0.003716037414707106,3554871.265129601,-2270679.307722647,0.009321170679841636,-0.00595391163502395
2014-10-01,30+,F,1777195.3202379209,121,867442.2960322424,93264.20999999999,774178.0860322424,0.005298733720790932,1575387.4985088706,-638507.747155062,0.01078247887956076,-0.004370160550754562
2014-10-01,30+,G,471170.9188712974,29,349867.70186151064,5973.41,343894.29186151066,0.008373909952519843,507112.09196301934,-236713.35586610466,0.012348303226976488,-0.005764027997823825
2014-10-01,60+,A,480568.00402151997,56,235194.37151743323,198213.19,36981.18151743323,6.667584349433514e-05,615964.7894835564,-2229409.4004964926,0.0011105640819579002,-0.004019551192603998
2014-10-01,60+,B,2342420.2855839394,306,1343765.3198725139,601480.76,742284.5598725139,0.0007522644666843138,2459058.1883865315,-3485856.827681491,0.0024921198643145692,-0.003532723660403315
2014-10-01,60+,C,3872020.6018341426,414,2489469.8343972615,452821.45,2036648.3843972615,0.001896048034744821,4936562.085463154,-5268605.621372765,0.004595765725809491,-0.004904886582671319
2014-10-01,60+,D,3505768.4027250316,346,1809064.2265236517,426723.84,1382340.3865236517,0.00197390906937979,4857121.962074026,-3846041.5019303104,0.006935713653084128,-0.005491944152021211
2014-10-01,60+,E,2940446.2144626207,191,1607430.204810351,190222.53,1417207.6748103509,0.003716037414707106,3554871.265129601,-2270679.307722647,0.009321170679841636,-0.00595391163502395
2014-10-01,60+,F,2020326.523065106,121,867442.2960322424,93264.20999999999,774178.0860322424,0.005298733720790932,1575387.4985088706,-638507.747155062,0.01078247887956076,-0.004370160550754562
2014-10-01,60+,G,365546.7928108559,19,349867.70186151064,5973.41,343894.29186151066,0.008373909952519843,507112.09196301934,-236713.35586610466,0.012348303226976488,-0.005764027997823825
2014-10-01,90+,A,409530.852073492,75,235194.37151743323,198213.19,36981.18151743323,6.667584349433514e-05,615964.7894835564,-2229409.4004964926,0.0011105640819579002,-0.004019551192603998
2014-10-01,90+,B,2259941.5068567726,297,1343765.3198725139,601480.76,742284.5598725139,0.0007522644666843138,2459058.1883865315,-3485856.827681491,0.0024921198643145692,-0.003532723660403315
2014-10-01,90+,C,3990739.269999341,394,2489469.8343972615,452821.45,2036648.3843972615,0.001896048034744821,4936562.085463154,-5268605.621372765,0.004595765725809491,-0.004904886582671319
2014-10-01,90+,D,3353135.7587794918,338,1809064.2265236517,426723.84,1382340.3865236517,0.00197390906937979,4857121.962074026,-3846041.5019303104,0.006935713653084128,-0.005491944152021211
2014-10-01,90+,E,2204838.0044842274,162,1607430.204810351,190222.53,1417207.6748103509,0.003716037414707106,3554871.265129601,-2270679.307722647,0.009321170679841636,-0.00595391163502395
2014-10-01,90+,F,1415400.783034493,91,867442.2960322424,93264.20999999999,774178.0860322424,0.005298733720790932,1575387.4985088706,-638507.747155062,0.01078247887956076,-0.004370160550754562
2014-10-01,90+,G,332910.33455709147,18,349867.70186151064,5973.41,343894.29186151066,0.008373909952519843,507112.09196301934,-236713.35586610466,0.012348303226976488,-0.005764027997823825
2014-10-01,120+,A,447095.1979969325,72,235194.37151743323,198213.19,36981.18151743323,6.667584349433514e-05,615964.7894835564,-2229409.4004964926,0.0011105640819579002,-0.004019551192603998
2014-10-01,120+,B,2078734.8027430251,284,1343765.3198725139,601480.76,742284.5598725139,0.0007522644666843138,2459058.1883865315,-3485856.827681491,0.0024921198643145692,-0.003532723660403315
2014-10-01,120+,C,2846634.309718025,301,2489469.8343972615,452821.45,2036648.3843972615,0.001896048034744821,4936562.085463154,-5268605.621372765,0.004595765725809491,-0.004904886582671319
2014-10-01,120+,D,3147609.363603568,288,1809064.2265236517,426723.84,1382340.3865236517,0.00197390906937979,4857121.962074026,-3846041.5019303104,0.006935713653084128,-0.005491944152021211
2014-10-01,120+,E,2118043.330432346,158,1607430.204810351,190222.53,1417207.6748103509,0.003716037414707106,3554871.265129601,-2270679.307722647,0.009321170679841636,-0.00595391163502395
2014-10-01,120+,F,1642013.0061002905,105,867442.2960322424,93264.20999999999,774178.0860322424,0.005298733720790932,1575387.4985088706,-638507.747155062,0.01078247887956076,-0.004370160550754562
2014-10-01,120+,G,221414.1292928618,12,349867.70186151064,5973.41,343894.29186151066,0.008373909952519843,507112.09196301934,-236713.35586610466,0.012348303226976488,-0.005764027997823825
2014-10-01,150+,A,286029.2794627915,46,235194.37151743323,198213.19,36981.18151743323,6.667584349433514e-05,615964.7894835564,-2229409.4004964926,0.0011105640819579002,-0.004019551192603998
2014-10-01,150+,B,1575219.1412318312,225,1343765.3198725139,601480.76,742284.5598725139,0.0007522644666843138,2459058.1883865315,-3485856.827681491,0.0024921198643145692,-0.003532723660403315
2014-10-01,150+,C,2855754.3378753774,303,2489469.8343972615,452821.45,2036648.3843972615,0.001896048034744821,4936562.085463154,-5268605.621372765,0.004595765725809491,-0.004904886582671319
2014-10-01,150+,D,2237075.5046552983,232,1809064.2265236517,426723.84,1382340.3865236517,0.00197390906937979,4857121.962074026,-3846041.5019303104,0.006935713653084128,-0.005491944152021211
2014-10-01,150+,E,2018943.7538341815,134,1607430.204810351,190222.53,1417207.6748103509,0.003716037414707106,3554871.265129601,-2270679.307722647,0.009321170679841636,-0.00595391163502395
2014-10-01,150+,F,1320639.8467641156,87,867442.2960322424,93264.20999999999,774178.0860322424,0.005298733720790932,1575387.4985088706,-638507.747155062,0.01078247887956076,-0.004370160550754562
