month_date,grade,total_ecl_dcf,total_balance,ecl_rate_dcf
2017-03-01,E,-1873611.0886165842,564211699.5090178,-0.003320759016955901
2017-03-01,F,-1206264.3328250712,206128722.3661534,-0.005851995388989717
2017-03-01,G,-427680.6342007342,55632541.380028844,-0.007687598365841767
2017-04-01,A,-913606.7810509892,897893157.9119431,-0.0010175005489245382
2017-04-01,B,-5421744.853359076,1529284703.7335093,-0.0035452815555682567
2017-04-01,C,-11876912.047580544,1762800569.3476284,-0.006737524513040017
2017-04-01,D,-2858335.97617446,961495902.7288888,-0.002972800994847733
2017-04-01,E,-1137299.5484842733,536091170.7473518,-0.0021214666656397107
2017-04-01,F,-870589.6252842708,197222201.23019883,-0.004414257724809155
2017-04-01,G,-341247.7513620557,53442346.182588205,-0.006385343753363059
2017-05-01,A,-200823.2709705402,863598594.1431125,-0.00023254237829069518
2017-05-01,B,-4388938.655721143,1481777591.8518422,-0.0029619415760202546
2017-05-01,C,-11077898.472577974,1727751720.9532309,-0.006411742114466599
2017-05-01,D,-1782128.6336309235,929439159.8092945,-0.0019174236579364557
2017-05-01,E,-435650.8299379003,515359313.5350483,-0.0008453341552122212
2017-05-01,F,-640394.2750938,190599872.1956834,-0.00335988827125931
2017-05-01,G,-317775.8947641014,52707263.43533361,-0.006029072162966301
2017-06-01,A,540280.9280051426,827510733.0004052,0.0006528989975104989
2017-06-01,B,-3194940.4807367492,1428614653.2810163,-0.0022363906693796784
2017-06-01,C,-9700097.406025121,1680014615.533261,-0.005773817272980193
2017-06-01,D,-766755.9841980543,891834040.7234777,-0.0008597518699510988
2017-06-01,E,307831.9347813653,492245347.0369525,0.0006253628127403235
2017-06-01,F,-412375.725984689,183292651.57645914,-0.0022498213782054955
2017-06-01,G,-405145.98573102185,54085496.02845171,-0.007490843488204204
2017-07-01,A,1223667.6660147633,786961188.2609637,0.0015549275927048433
2017-07-01,B,-2096925.6933108424,1369849138.648225,-0.0015307712609726504
2017-07-01,C,-8584109.739366444,1633440751.5799296,-0.005255231774439047
2017-07-01,D,21118.04212197718,858397069.8001444,2.460171739273757e-05
2017-07-01,E,923639.0845089712,470472067.702286,0.0019632176869072886
2017-07-01,F,-116684.04853423702,175457288.8388916,-0.0006650282202945621
2017-07-01,G,-631807.9264764173,57443978.514696315,-0.010998679806183293
2017-08-01,A,1891797.699259632,750573784.6683574,0.002520468657315985
2017-08-01,B,-963320.2271891583,1316040387.4383354,-0.0007319837874157155
2017-08-01,C,-7224084.750459031,1589147170.763822,-0.004545887809111337
2017-08-01,D,840499.2325302747,826185433.4544178,0.0010173251651460478
2017-08-01,E,1512275.5059613949,449673477.1666705,0.003363052487529464
2017-08-01,F,273454.62183079805,166505279.5568011,0.0016423180247417473
2017-08-01,G,-639374.1512771854,57643969.73972146,-0.011091778622536535
2017-09-01,A,2745476.201494673,708876412.8664936,0.0038729969733267778
2017-09-01,B,490318.3605068358,1253319255.4908876,0.00039121585211326926
2017-09-01,C,-5509814.991962324,1531064554.853911,-0.0035986823511096515
2017-09-01,D,1631070.3829208252,791611713.7648965,0.002060442455005463
2017-09-01,E,2072372.9370097711,428614762.0285454,0.0048350479745533186
2017-09-01,F,485892.10018563224,159657290.1897872,0.0030433442757799812
2017-09-01,G,-950080.3781793924,62635226.61241593,-0.015168467163988224
2017-10-01,A,2998446.138355405,675200160.7883307,0.0044408255691979785
2017-10-01,B,1306349.6192576252,1200205053.0624454,0.0010884386929752889
2017-10-01,C,-3241642.9015341145,1464989561.506805,-0.0022127412963952762
2017-10-01,D,2116855.5487276837,762995718.3374237,0.0027744002985237402
2017-10-01,E,2612097.1935600983,408872363.8511091,0.006388539369492074
2017-10-01,F,684789.9676758678,153920662.09077242,0.004448980132842875
2017-10-01,G,-833573.2458836725,62602993.06981143,-0.013315229911677181
2017-11-01,A,3389651.610275388,645195663.1969489,0.005253680090593978
2017-11-01,B,2088142.9297703677,1144326379.093604,0.001824779160840756
2017-11-01,C,-916564.6447156102,1393370991.7478898,-0.0006578037365094286
2017-11-01,D,2651147.0152255474,729960332.6776456,0.003631905593418469
2017-11-01,E,3214802.6250398965,385086170.9250864,0.008348268174151846
2017-11-01,F,952354.2601375252,144950408.24651062,0.006570207505162036
2017-11-01,G,-599725.6625756233,59432812.89654729,-0.010090817401147506
2017-12-01,A,4148535.646445786,610071101.5529591,0.006800085491487027
2017-12-01,B,3479901.5086290725,1084986346.7843368,0.0032073228561287823
2017-12-01,C,1531637.1058865981,1323326301.026042,0.0011574145429581822
2017-12-01,D,3428241.6757592135,698881463.8521072,0.004905326372319808
2017-12-01,E,3842016.7646801285,362533522.86316866,0.010597686896199733
2017-12-01,F,1315105.0503355893,135904874.03451842,0.00967665846922875
2017-12-01,G,-324498.08842907334,56234180.328448355,-0.005770477786530708
2018-01-01,A,4429445.10369439,578611753.8231926,0.007655297484758498
2018-01-01,B,4698614.856565538,1021684061.5138873,0.00459889219530677
2018-01-01,C,3849036.8243694324,1250815505.952786,0.003077221865296192
2018-01-01,D,4215308.030389621,664297475.469817,0.006345512644630165
2018-01-01,E,4413972.892458782,339925939.62685204,0.012985101688044596
2018-01-01,F,1656394.7643287175,126634692.59876977,0.013080102540121845
2018-01-01,G,-68633.92188194318,52271019.495130435,-0.0013130396641362068
2018-02-01,A,5021107.711243981,536920760.6565474,0.009351673615868687
2018-02-01,B,6346550.251854125,948512672.8932649,0.006691054777892563
2018-02-01,C,6467078.944318706,1165757430.6528344,0.005547533967419864
2018-02-01,D,5398521.463994758,621919765.8054068,0.008680414678577539
2018-02-01,E,5063767.736141677,313807668.69603974,0.016136532791512313
2018-02-01,F,1957259.881903598,116972862.6557583,0.0167325979502071
2018-02-01,G,151740.48811439206,48741158.26217919,0.0031131900333221142
2018-03-01,A,5553777.583423636,500345400.91039205,0.01109988734445922
2018-03-01,B,7681063.397446008,884950144.1204575,0.008679656643346993
2018-03-01,C,8778732.541405048,1087141046.661875,0.008075063091730937
2018-03-01,D,6306893.561431366,584684470.7177411,0.01078683268890178
2018-03-01,E,5616927.534410241,291013252.358436,0.01930127748097179
2018-03-01,F,2241697.0996394693,107478603.26455912,0.020857147669862443
2018-03-01,G,347481.3675653379,45053144.029236585,0.007712699636230602
2018-04-01,A,5939729.438632198,457007322.3526292,0.012997011531576888
2018-04-01,B,8859588.797074972,810067018.9945649,0.01093685903676374
2018-04-01,C,10733773.528046168,995662465.4743708,0.010780534468508057
2018-04-01,D,7129988.342690944,538981407.08109,0.013228635067959281
2018-04-01,E,6060438.301455431,264545761.0051814,0.022908846765973056
2018-04-01,F,2482745.7272440703,96704182.00666955,0.025673612823412732
2018-04-01,G,499109.60816676886,41021405.84937516,0.012167052733380939
2018-05-01,A,6294271.9580097785,422092538.7681508,0.014912066383308257
2018-05-01,B,10094754.71670049,746937364.9735321,0.01351486107146106
2018-05-01,C,12603818.513679266,919700834.1404743,0.013704259087095891
2018-05-01,D,7880638.221976324,501973301.110332,0.015699317482712465
2018-05-01,E,6477018.709260972,241567185.0084614,0.026812494043982428
2018-05-01,F,2683066.4486742024,87388555.47534105,0.030702721129556826
2018-05-01,G,627375.9969256573,37603609.2837501,0.016683930316145727
2018-06-01,A,6810556.127539836,384258435.8455464,0.017723894890045704
2018-06-01,B,11704453.854724418,674134351.4402637,0.017362197653506713
2018-06-01,C,14738365.88504279,833695413.7000682,0.017678357878486654
2018-06-01,D,8866917.986575969,458723190.68254906,0.019329561196552096
2018-06-01,E,6954183.490721169,218246344.42130384,0.031863917396466344
2018-06-01,F,2844198.252023835,78567237.38127528,0.036200817883176396
2018-06-01,G,753388.7545248654,34013676.873403355,0.022149582867178056
2018-07-01,A,7032144.43475072,345146309.3719486,0.02037438687247412
2018-07-01,B,12904386.555473179,600012667.1524972,0.02150685687472902
2018-07-01,C,16401049.309735622,747855983.845896,0.021930758948256593
2018-07-01,D,9679244.37496453,416689950.0057858,0.02322888846930465
2018-07-01,E,7336619.691909265,195372295.91839692,0.037551996087375784
2018-07-01,F,2997767.891810014,70847832.70159175,0.04231276776576205
2018-07-01,G,851417.7262038602,30145077.897964235,0.028244004845028394
2018-08-01,A,7425381.409158588,304242448.0219933,0.02440613220618649
2018-08-01,B,14176315.080284845,526431916.9073781,0.02692905696821393
2018-08-01,C,18217586.29980896,662118235.6764024,0.02751409841657413
2018-08-01,D,10597459.104230395,374151001.4032325,0.028324016411783514
2018-08-01,E,7741536.777635403,173095929.11663967,0.04472396790116776
2018-08-01,F,3128865.581499071,63307182.463264845,0.04942354816240089
2018-08-01,G,930653.9344007331,26543107.824756924,0.03506198070493864
2018-09-01,A,7954779.919550906,261459682.10812446,0.030424499316346883
2018-09-01,B,15663928.868085194,446644571.25920486,0.03507023229662142
2018-09-01,C,20171609.27618378,567565722.8953637,0.035540569950702636
2018-09-01,D,11633959.190392692,326488294.05959964,0.035633618117619066
2018-09-01,E,8118027.863236905,149005966.56089693,0.05448122683006231
2018-09-01,F,3254757.3855159534,54802085.72298672,0.0593911224833318
2018-09-01,G,1015470.5197817263,22954196.820019078,0.04423899157717871
2018-10-01,A,8078642.125761325,225251275.78350854,0.035865022729219945
2018-10-01,B,16436229.613672774,382971233.6607887,0.04291766109052183
2018-10-01,C,21515579.196636025,490842395.7628531,0.04383398700350065
2018-10-01,D,12468041.677313711,287268459.4524634,0.04340205569757963
2018-10-01,E,8421086.211712558,130621927.91988122,0.06446916184607035
2018-10-01,F,3372628.448853545,47543757.69488143,0.0709373556566111
2018-10-01,G,1084459.8517889048,20306780.976536665,0.05340382865417895
2018-11-01,A,8449752.47847238,184358223.6549992,0.04583333637605946
2018-11-01,B,17351960.019403983,314009898.5827303,0.055259277168399096
2018-11-01,C,22986992.013574652,407489554.51673037,0.05641124234665719
2018-11-01,D,13268974.084250147,242129256.02600622,0.05480120123453803
2018-11-01,E,8726014.848935539,110364887.30479746,0.07906513622250785
2018-11-01,F,3515998.0273243994,39819480.99302171,0.08829843934783006
2018-11-01,G,1150565.1469862126,16860338.920344345,0.06824092637888172
2018-12-01,A,8662406.160764283,146098959.95473993,0.059291360892971545
2018-12-01,B,18000550.222795364,251686605.01323083,0.07151969895993908
2018-12-01,C,24120834.369765606,332320144.07884103,0.07258312443450035
2018-12-01,D,13910222.392070593,201471373.93771055,0.06904317035318007
2018-12-01,E,8980830.660317676,92151935.53341545,0.0974567773138212
2018-12-01,F,3631499.598894034,33140052.576490883,0.10958038133802395
2018-12-01,G,1203896.7851205405,14057655.785309905,0.08563993908419634
2019-01-01,A,8303648.006413884,107985559.00774881,0.07689591166368859
2019-01-01,B,18189346.619310725,189552805.64221412,0.09595925820081816
2019-01-01,C,24909434.753459405,258344756.42285323,0.09641935488982083
2019-01-01,D,14435938.649051918,159418426.72266355,0.090553764366059
2019-01-01,E,9192012.807214426,73749050.18108383,0.12463906700688764
2019-01-01,F,3710928.931924261,26822618.528569706,0.1383507329074386
2019-01-01,G,1245794.5896472377,11619374.482905762,0.10721700995867124
2019-02-01,A,7722951.9505541315,67925991.21578795,0.11369656610559842
2019-02-01,B,17759094.737662364,123945604.21389398,0.14328135999898264
2019-02-01,C,25039743.479701567,181327363.02299225,0.1380913672501074
2019-02-01,D,14708364.384376597,116362430.17429258,0.12640131666505922
