month_date,grade,total_ecl_simple,total_balance,loan_count,ecl_rate_simple
2015-06-01,C,7416934.623910884,1433024124.246117,128951,0.0051757220959645555
2015-06-01,D,7266656.871014551,917996195.4939585,74460,0.007915781031210574
2015-06-01,E,5746050.4552944,537094287.2752514,36206,0.010698401735838331
2015-06-01,F,2389141.9819781994,186403155.60555744,11885,0.012817068328144597
2015-06-01,G,737970.9740955064,51891468.13669289,2862,0.014221431780491116
2015-07-01,A,1041522.7916727004,911865329.2106308,84362,0.0011421892666697937
2015-07-01,B,3927308.7392085115,1376277730.1116264,139405,0.002853572831473468
2015-07-01,C,8063412.861545122,1531220105.9349139,137610,0.005266005083326581
2015-07-01,D,7815599.895013115,970785992.6776503,78802,0.008050795905548554
2015-07-01,E,6275035.853543945,575899214.0107415,38672,0.010896066014472638
2015-07-01,F,2628572.456287883,199130782.99521127,12584,0.013200231610353762
2015-07-01,G,790080.8665921434,53911208.46404709,2981,0.014655224564647655
2015-08-01,A,1083666.1456427153,953669296.65184,88295,0.001136312293420026
2015-08-01,B,4117643.8644334422,1434507519.0021794,144719,0.002870423340337463
2015-08-01,C,8457370.910827816,1586818986.6897717,142793,0.005329764126701403
2015-08-01,D,8156721.8882872565,997378442.2482402,81118,0.008178161410728696
2015-08-01,E,6630311.42008149,598557364.0330129,40193,0.011077152865361458
2015-08-01,F,2766427.7212636485,205563120.89150813,12939,0.013457801716893132
2015-08-01,G,818445.2599050828,54767705.35004718,3041,0.014943939218815157
2015-09-01,A,1109107.8651197753,979563633.7477182,91236,0.0011322468769858606
2015-09-01,B,4239543.686289321,1466455964.826196,148310,0.002891013291893692
2015-09-01,C,8704313.223347774,1616993749.1606584,146453,0.005383022184140148
2015-09-01,D,8381300.251362417,1012720120.7575015,82813,0.00827602817360172
2015-09-01,E,6903845.096553777,614964865.3664211,41410,0.011226405743424359
2015-09-01,F,2866508.254424059,209785028.3234332,13198,0.013664026824662907
2015-09-01,G,834627.2199721328,55083170.847025804,3071,0.015152127358281848
2015-10-01,A,1194532.628220644,1059228885.8110293,97884,0.0011277379650631559
2015-10-01,B,4584529.682675496,1576568937.1772325,157954,0.002907915774925685
2015-10-01,C,9348141.943536716,1712999240.154377,155017,0.005457178102831063
2015-10-01,D,8854130.468095182,1054324451.7387903,86266,0.008397918167877983
2015-10-01,E,7317668.142373821,642841817.9470754,43298,0.011383310696467912
2015-10-01,F,3015963.22083437,217013760.59078288,13650,0.013897566737813885
2015-10-01,G,869363.4238716967,56482132.53964657,3163,0.015391830739773562
2015-11-01,A,1240865.2815971875,1101883132.0416744,102020,0.0011261314793865604
2015-11-01,B,4809593.364808036,1638505704.4963343,164242,0.0029353534452823114
2015-11-01,C,9813397.628676934,1766839315.6072216,160330,0.005554210584964427
2015-11-01,D,9136385.580439325,1070915961.5623658,87962,0.008531374924237937
2015-11-01,E,7574142.774916085,655962470.2016382,44297,0.011546609934235792
2015-11-01,F,3076171.9168019127,218064502.56365266,13778,0.0141067064131815
2015-11-01,G,876347.8350214666,56043587.04057365,3168,0.01563689765944176
2015-12-01,A,1304886.6910061466,1158213373.208258,107499,0.0011266375619473315
2015-12-01,B,5126470.502564606,1719886523.364077,172693,0.0029807027573756973
2015-12-01,C,10417118.81387898,1844283498.734592,167763,0.005648328373065431
2015-12-01,D,9614611.162073828,1105248535.630823,90931,0.008699048994067447
2015-12-01,E,7939368.032976899,675199812.2556959,45710,0.011758545972418438
2015-12-01,F,3222130.954671993,223937618.5902351,14184,0.014388520227000821
2015-12-01,G,904788.7554418452,56787982.06309729,3251,0.015932750602698505
2016-01-01,A,1345320.233286159,1195653434.5606549,111337,0.0011251757360447006
2016-01-01,B,5289224.600665125,1765023206.8331277,177656,0.002996688417573418
2016-01-01,C,10677002.376740808,1873319635.4802725,171044,0.005699509135825339
2016-01-01,D,9764611.846149607,1110991083.3765132,91659,0.00878910010373179
2016-01-01,E,8116203.793132632,681151517.5853895,46382,0.011915416149851242
2016-01-01,F,3324411.4324896373,227107438.12507778,14416,0.014638056154984857
2016-01-01,G,928640.6405880806,57012003.0347424,3290,0.016288511035512623
2016-02-01,A,1395892.2069947398,1240310723.784253,116097,0.0011254375054791106
2016-02-01,B,5565158.111392992,1838634028.357329,184698,0.0030267894673770457
2016-02-01,C,11117202.066770464,1930654209.9717927,176434,0.005758256454910633
2016-02-01,D,9982009.289709346,1124140348.8256898,93038,0.008879682417001444
2016-02-01,E,8332474.113254606,691184254.045162,47267,0.01205535870426551
2016-02-01,F,3460417.280554636,232169816.34253952,14731,0.014904681991259335
2016-02-01,G,968988.7445428211,58310767.639956474,3396,0.016617664005487004
2016-03-01,A,1506942.4320409503,1341545193.370602,124317,0.0011232886074115712
2016-03-01,B,5939884.321370859,1935851962.3512948,193574,0.003068356690950814
2016-03-01,C,11853737.953640305,2031512181.6869204,184773,0.005834933238646513
2016-03-01,D,10485410.593157452,1167481649.274641,96560,0.008981220903705048
2016-03-01,E,8812698.551685512,720086346.1018734,49298,0.012238391408741897
2016-03-01,F,3734991.716311449,245382443.12739763,15571,0.015221104121016175
2016-03-01,G,1046357.0877628885,61376144.87860383,3625,0.01704826997251918
2016-04-01,A,1514522.2022498136,1347094585.0788279,126119,0.0011242879446072367
2016-04-01,B,5944256.5242192885,1920114312.3808858,194285,0.0030957826239254387
2016-04-01,C,11956580.963426504,2034188452.0192637,186650,0.005877813804103375
2016-04-01,D,10518620.187403405,1163372094.189297,96963,0.009041492605797263
2016-04-01,E,8804382.328309424,715211838.3788424,49363,0.012310174211134645
2016-04-01,F,3742717.8089120127,244151916.8131149,15659,0.01532946313821841
2016-04-01,G,1083043.5924639925,62500830.42564152,3709,0.017328467239367498
2016-05-01,A,1504886.631394565,1330705055.5578945,126994,0.0011308942016182884
2016-05-01,B,5942007.840637967,1899516388.211469,194813,0.00312816876838467
2016-05-01,C,11886427.43600458,2010726423.6472573,187032,0.005911509042808413
2016-05-01,D,10418922.307463799,1147995530.3443038,96862,0.00907575163148848
2016-05-01,E,8747966.506273273,706024504.2961241,49267,0.012390457346795091
2016-05-01,F,3746376.961220349,242429417.44183403,15631,0.015453475080511694
2016-05-01,G,1092302.3355249125,62328385.5651159,3722,0.017524957940451693
2016-06-01,A,1495630.17493685,1318535564.2426429,128374,0.001134311591963717
2016-06-01,B,5958452.3180522965,1896398322.1920526,196978,0.0031419835423419397
2016-06-01,C,11911714.658431146,2001515853.5289705,188189,0.005951346644309122
2016-06-01,D,10365395.952461017,1132918939.9664612,96357,0.009149282959968762
2016-06-01,E,8668349.460754788,694188273.4098991,48857,0.012487029517475535
2016-06-01,F,3775719.3444233355,241925961.44928437,15629,0.015606920901768743
2016-06-01,G,1099551.864807094,62067745.17689629,3715,0.017715350568533048
2016-07-01,A,1454984.1037894667,1279996973.2373238,128039,0.0011367090190139838
2016-07-01,B,5942712.251872559,1880046300.9471388,198363,0.003160939307121697
2016-07-01,C,12052144.112547435,2008409173.1683037,190633,0.00600084100070851
2016-07-01,D,10430693.944501517,1132152521.4875271,96930,0.009213152597846714
2016-07-01,E,8627517.980932051,686327243.2673159,48752,0.012570560276552713
2016-07-01,F,3809422.397795362,242056838.04679576,15698,0.01573771858103386
2016-07-01,G,1122424.627299035,62621123.47206364,3746,0.017924057651245558
2016-08-01,A,1409382.1187111055,1238404636.5034919,127197,0.0011380626954775872
2016-08-01,B,5959002.12659771,1878000337.9449866,200392,0.003173057004408415
2016-08-01,C,12090043.663814325,2004948051.827555,192301,0.006030103200326801
