month_date,ftr,grade
2014-01-01,0.0019376844834162572,B
2014-02-01,0.002144840889092625,B
2014-03-01,0.0015441363995547565,B
2014-04-01,0.001812337385171904,B
2014-05-01,0.0015026737924399606,B
2014-06-01,0.0017635053532404188,B
2014-07-01,0.0021831472435647186,B
2014-08-01,0.002111532204551648,B
2014-09-01,0.002034112509081307,B
2014-10-01,0.00222304790532654,B
2014-11-01,0.0022489977707654658,B
2014-12-01,0.0016471495620567552,B
2015-01-01,0.0021956602940962585,B
2015-02-01,0.0019209078076115648,B
2015-03-01,0.0018356232196916316,B
2015-04-01,0.002389431897465603,B
2015-05-01,0.0017672139730755437,B
2015-06-01,0.0018186387066044252,B
2015-07-01,0.0022439789240289135,B
2015-08-01,0.002301491375865551,B
2015-09-01,0.0021087976210393345,B
2015-10-01,0.0023423727418323734,B
2015-11-01,0.002228740841691092,B
2015-12-01,0.0017688921403469788,B
2016-01-01,0.0018740546761009536,B
2016-02-01,0.0019577883217027116,B
2016-03-01,0.001867890448032372,B
2016-04-01,0.002387878516206791,B
2016-05-01,0.0024376034804939185,B
2016-06-01,0.00291189831761945,B
2016-07-01,0.003153583391563847,B
2016-08-01,0.0036860363345931142,B
2016-09-01,0.0038841802273420958,B
2016-10-01,0.003911613261477792,B
2016-11-01,0.004072509483424342,B
2016-12-01,0.003582663071676186,B
2017-01-01,0.004161984438593623,B
2017-02-01,0.0045270176645999406,B
2017-03-01,0.004121673173530482,B
2017-04-01,0.0055095440299499305,B
2017-05-01,0.004810055389290865,B
2017-06-01,0.005404042553164671,B
2017-07-01,0.005627362344133569,B
2017-08-01,0.005650133888596903,B
2017-09-01,0.006396065890343271,B
2017-10-01,0.005915418380411085,B
2017-11-01,0.006540975347547511,B
2017-12-01,0.007067947286030441,B
2018-01-01,0.006629732613244671,B
2018-02-01,0.008802779311928549,B
2018-03-01,0.007029009168871581,B
2018-04-01,0.01020555917705171,B
2018-05-01,0.009182281447693745,B
2018-06-01,0.011828321820802604,B
2018-07-01,0.01420867402434915,B
2018-08-01,0.018100791398584396,B
2018-09-01,0.02175101176635958,B
2018-10-01,0.02212515661799816,B
2018-11-01,0.030788591519671563,B
2018-12-01,0.01491083591499161,B
2019-01-01,0.008700748429583084,B
2019-02-01,0.008823218665172126,B
2019-03-01,0.006372433654522204,B
2019-04-01,0.010103050749396256,B
2019-05-01,,B
2019-06-01,,B
2019-07-01,,B
2019-08-01,,B
2019-09-01,,B
2019-10-01,,B
2019-11-01,,B
2019-12-01,,B
2020-01-01,,B
2020-02-01,,B
2020-03-01,,B
2020-04-01,,B
2020-05-01,,B
2020-06-01,,B
2020-07-01,,B
2020-08-01,,B
2020-09-01,,B
2020-10-01,,B
2020-11-01,,B
2020-12-01,,B
2021-01-01,,B
2021-02-01,,B
2021-03-01,,B
2021-04-01,,B
2021-05-01,,B
2021-06-01,,B
2021-07-01,,B
2021-08-01,,B
2021-09-01,,B
2021-10-01,,B
2021-11-01,,B
2021-12-01,,B
2022-01-01,,B
2022-02-01,,B
2022-03-01,,B
2022-04-01,,B
2022-05-01,,B
2022-06-01,,B
2022-07-01,,B
2022-08-01,,B
2022-09-01,,B
2022-10-01,,B
2022-11-01,,B
2022-12-01,,B
2023-01-01,,B
2023-02-01,,B
2023-03-01,,B
2023-04-01,,B
2023-05-01,,B
2023-06-01,,B
2023-07-01,,B
2023-08-01,,B
2023-09-01,,B
2023-10-01,,B
2007-08-01,,C
2007-09-01,,C
2007-10-01,,C
2007-11-01,,C
2007-12-01,,C
2008-01-01,,C
2008-02-01,,C
2008-03-01,,C
2008-04-01,0.00102741563443202,C
2008-05-01,,C
2008-06-01,0.0033750272313170875,C
2008-07-01,,C
2008-08-01,0.002525842060982153,C
2008-09-01,0.006538730320218036,C
2008-10-01,0.0041631432458233576,C
2008-11-01,0.006247083946302856,C
2008-12-01,,C
2009-01-01,0.0032495358193213816,C
2009-02-01,0.0024670248894078876,C
2009-03-01,0.005112586222705878,C
2009-04-01,0.005659082696561649,C
2009-05-01,0.0076952796909670815,C
2009-06-01,0.009211406250604052,C
2009-07-01,0.005979787801544314,C
2009-08-01,0.0022328003969614048,C
2009-09-01,0.004246880339951826,C
2009-10-01,0.0015797488190973533,C
2009-11-01,0.004986915304554918,C
2009-12-01,0.0032772571925099273,C
2010-01-01,0.00464089589765386,C
2010-02-01,0.004525156625820062,C
2010-03-01,0.0014969365082946901,C
2010-04-01,0.004124334049977294,C
2010-05-01,0.0036165039929292706,C
2010-06-01,0.0021947630207668762,C
2010-07-01,0.003492420080001388,C
2010-08-01,0.004106269776433979,C
2010-09-01,0.004748535447252132,C
2010-10-01,0.0012623692628749923,C
2010-11-01,0.0024609141101610108,C
2010-12-01,0.002027947342025718,C
2011-01-01,0.0030189419586073075,C
2011-02-01,0.0025044424140150652,C
2011-03-01,0.0007389888265142933,C
2011-04-01,0.0027593323201890547,C
2011-05-01,0.004044234475369966,C
2011-06-01,0.004926751471339496,C
2011-07-01,0.0029612694542833435,C
2011-08-01,0.003919967106678097,C
2011-09-01,0.0030354361926260395,C
2011-10-01,0.003243378196644936,C
2011-11-01,0.0032473352346697568,C
2011-12-01,0.003882946252218406,C
2012-01-01,0.003997633800165162,C
2012-02-01,0.0023476504890865176,C
2012-03-01,0.004288513542670054,C
2012-04-01,0.0030174103514937992,C
2012-05-01,0.0023374506526965626,C
2012-06-01,0.0038582010193932434,C
2012-07-01,0.003883966254831256,C
2012-08-01,0.004516847225793554,C
2012-09-01,0.0038290445646136937,C
2012-10-01,0.0034264423975633273,C
2012-11-01,0.0029830387388700367,C
2012-12-01,0.0029385782840620545,C
2013-01-01,0.00323877254638565,C
2013-02-01,0.003160284266234255,C
2013-03-01,0.0021460665762428185,C
2013-04-01,0.0024771074216444907,C
2013-05-01,0.0025312558390997984,C
2013-06-01,0.0037160509461661054,C
2013-07-01,0.0029532176812633,C
2013-08-01,0.003018401228478279,C
2013-09-01,0.0029705624948387034,C
2013-10-01,0.003216889660722618,C
2013-11-01,0.003952339396419319,C
2013-12-01,0.002475783305288872,C
2014-01-01,0.0024530505438507275,C
2014-02-01,0.003144180824222702,C
