month_date,total_ecl,nco_amount,provision,alll_reserve,nco_coverage_ratio
2010-01-01,-143644.82549094068,86265.34939503932,75167.82860404256,-143644.82549094068,-0.19620893738752643
2010-02-01,-152839.04564880492,63573.87211353404,54379.6519556698,-152839.04564880492,-0.20273882429886886
2010-03-01,-164912.78755984688,123133.5497525159,111059.80784147394,-164912.78755984688,-0.19504042464214497
2010-04-01,-179166.63755985812,72429.83511681261,58175.98511680137,-179166.63755985812,-0.2045004946518241
2010-05-01,-198990.21714990988,101064.94392862894,81241.36433857719,-198990.21714990988,-0.23326207156679046
2010-06-01,-223468.1559043398,74975.89859618638,50497.959841756456,-223468.1559043398,-0.24073390568392491
2010-07-01,-251810.07716617917,212313.9789470297,183972.05768519035,-251810.07716617917,-0.23003154249649957
2010-08-01,-283005.5765177977,121006.45901955185,89810.9596679333,-283005.5765177977,-0.23936889980702797
2010-09-01,-307257.58202222874,16105.41612929308,-8146.589375137948,-307257.58202222874,-0.2740734102010981
2010-10-01,-334550.9562711873,143700.65715954007,116407.28291058153,-334550.9562711873,-0.2830515394898366
2010-11-01,-350962.03872837505,173197.18164725116,156786.0991900634,-350962.03872837505,-0.26844199110834094
2010-12-01,-381878.5615103236,105395.89301177215,74479.37022982359,-381878.5615103236,-0.29530581313308163
2011-01-01,-424129.2954293662,116609.58187227794,74358.84795323537,-424129.2954293662,-0.3204586071494726
2011-02-01,-458250.7105163118,226673.8822027907,192552.46711584507,-458250.7105163118,-0.308252702302661
2011-03-01,-507813.1713438509,206505.55233977825,156943.09151223916,-507813.1713438509,-0.3234521485871197
2011-04-01,-544827.3638039592,137944.21957712498,100930.02711701667,-544827.3638039592,-0.3331271625521299
2011-05-01,-576483.2895901821,221312.27485518638,189656.34906896346,-576483.2895901821,-0.32834187452159314
2011-06-01,-612667.0259301774,210363.38617617346,174179.64983617817,-612667.0259301774,-0.32396901186662425
2011-07-01,-644912.1104569857,296151.0023752429,263905.91784843465,-644912.1104569857,-0.3265434805712887
2011-08-01,-684972.2439339891,191517.8066488753,151457.67317187187,-684972.2439339891,-0.33487166701303617
2011-09-01,-727787.1688389484,160003.40699320578,117188.4820882465,-727787.1688389484,-0.3324177997878415
2011-10-01,-783533.9435604699,253461.75287986448,197714.97815834294,-783533.9435604699,-0.340794961155261
2011-11-01,-842395.8541436762,246908.81993517646,188046.90935197013,-842395.8541436762,-0.35501473488901525
2011-12-01,-913361.1365520526,383821.69966336543,312856.4172549891,-913361.1365520526,-0.3444990401747032
2012-01-01,-993555.7221028367,256754.42367589843,176559.8381251143,-993555.7221028367,-0.3559322327187712
2012-02-01,-1075972.0640331344,587351.1987965207,504934.85686622304,-1075972.0640331344,-0.3413513483465865
2012-03-01,-1167179.4010603589,496743.74111062085,405536.40408339637,-1167179.4010603589,-0.3390663113158413
2012-04-01,-1260116.7329625324,591669.4501296075,498732.1182274339,-1260116.7329625324,-0.32343369154626245
2012-05-01,-1357810.2058577943,696162.7248826175,598469.2519873556,-1357810.2058577943,-0.3106470707757949
2012-06-01,-1476905.7763262808,522011.418099726,402915.8476312395,-1476905.7763262808,-0.3154057998462262
2012-07-01,-1643891.0021878097,745004.3862142494,578019.1603527205,-1643891.0021878097,-0.32035848560163804
2012-08-01,-1854996.3496778912,662392.9453651443,451287.5978750627,-1854996.3496778912,-0.33111418452354074
2012-09-01,-2084480.5977647381,991625.8514750531,762141.6033882062,-2084480.5977647381,-0.3239835670963419
2012-10-01,-2319645.535110277,819823.8628900084,584658.9255444694,-2319645.535110277,-0.33136512763919385
2012-11-01,-2560564.8642627583,889940.2969231429,649020.9677706617,-2560564.8642627583,-0.3350076792101201
2012-12-01,-2801459.1633248087,1063519.8153421062,822625.5162800557,-2801459.1633248087,-0.33659246962017947
2013-01-01,-3080237.03986341,1329185.255808145,1050407.3792695438,-3080237.03986341,-0.32784414650344823
2013-02-01,-3420242.839502188,1408037.351680959,1068031.5520421811,-3420242.839502188,-0.3347889228411946
2013-03-01,-3761974.153842983,1851952.2468585253,1510220.9325177304,-3761974.153842983,-0.32511177042670303
2013-04-01,-4143462.308695482,1878011.318277567,1496523.1634250677,-4143462.308695482,-0.3222561414916847
2013-05-01,-4517988.888505224,2357055.195857862,1982528.61604812,-4517988.888505224,-0.3111871222548993
2013-06-01,-4876338.324408221,2042341.6361614428,1683992.200258446,-4876338.324408221,-0.3040321540265758
2013-07-01,-5262701.773737075,1960661.8900978034,1574298.4407689497,-5262701.773737075,-0.3050037517866772
2013-08-01,-5636306.314071539,2468540.6203026157,2094936.0799681516,-5636306.314071539,-0.295703079716512
2013-09-01,-5988464.081664667,2283089.6653082683,1930931.8977151397,-5988464.081664667,-0.29424219985248345
2013-10-01,-6378745.674825546,2557165.97473326,2166884.381572381,-6378745.674825546,-0.28876820701485634
2013-11-01,-6767229.131378978,2706276.986646517,2317793.530093086,-6767229.131378978,-0.28307851594786604
2013-12-01,-7135138.650221019,3509782.032013939,3141872.5131718977,-7135138.650221019,-0.2707616699685041
2014-01-01,-8392746.625744337,3482492.338197063,2224884.362673745,-8392746.625744337,-0.294426476714792
2014-02-01,-9471107.601020658,4291937.696992221,3213576.7217159,-9471107.601020658,-0.3017303765115236
2014-03-01,-10530829.178703876,4821728.285911367,3762006.7082281495,-10530829.178703876,-0.30649330723974605
2014-04-01,-11695109.798534933,5223691.8454322545,4059411.225601197,-11695109.798534933,-0.3101759169353907
2014-05-01,-12663307.53287639,6413048.982625302,5444851.248283846,-12663307.53287639,-0.3032346191296911
2014-06-01,-13224539.62170587,4512638.615716363,3951406.526886883,-13224539.62170587,-0.2989876601732864
2014-07-01,-15469795.820108121,5011966.714426608,2766710.516024356,-15469795.820108121,-0.32717901346687006
2014-08-01,-15761805.08788374,6615747.941629758,6323738.673854139,-15761805.08788374,-0.3064736100826661
2014-09-01,-14684579.038205419,5026409.29701405,6103635.346692372,-14684579.038205419,-0.2710687934437108
2014-10-01,-17975813.76222487,6733534.565014964,3442299.840995511,-17975813.76222487,-0.30807271951122345
2014-11-01,-18721431.236206625,6699950.870293554,5954333.396311801,-18721431.236206625,-0.30029758756716834
2014-12-01,-16960468.696768787,7963140.843907963,9724103.383345801,-16960468.696768787,-0.2539133416738596
2015-01-01,-19187879.052344393,9185585.812777327,6958175.457201721,-19187879.052344393,-0.2646626586714164
2015-02-01,-19294560.86093992,9593593.888281342,9486912.079685815,-19294560.86093992,-0.24799875992024487
2015-03-01,-19436202.283400737,11008601.315716973,10866959.893256156,-19436202.283400737,-0.23141666607809186
2015-04-01,-20914195.465616427,11446794.57805785,9968801.39584216,-20914195.465616427,-0.23183638750380559
2015-05-01,-21496934.145414043,13029930.15607525,12447191.476277635,-21496934.145414043,-0.22201178941729868
2015-06-01,-21316578.7234397,9238056.529879525,9418411.951853868,-21316578.7234397,-0.2099053019141562
2015-07-01,-23659312.067365713,10670634.851936894,8327901.508010881,-23659312.067365713,-0.22067787502661454
