month_date,grade,total_balance,current_balance,delinquent_balance,gco_balance,ecl_simple,ecl_rate
2008-11-01,G,60450.31,60450.31,0.0,0.0,22976.3,0.380086
2008-12-01,A,1747397.84,1747397.84,0.0,0.0,55975.2,0.032033
2008-12-01,B,4091964.43,4018566.93,73397.5,0.0,322231.8,0.078747
2008-12-01,C,3591280.99,3495613.49,83831.25,11836.25,515688.28,0.143595
2008-12-01,D,2157015.3,1947745.3,201620.0,7650.0,441972.75,0.2049
2008-12-01,E,969423.31,922673.31,46750.0,0.0,257569.44,0.265693
2008-12-01,F,293965.71,293965.71,0.0,0.0,96766.85,0.329177
2008-12-01,G,59511.34,59511.34,0.0,0.0,22619.41,0.380086
2009-01-01,A,2112994.61,2112994.61,0.0,0.0,67686.54,0.032033
2009-01-01,B,4516594.37,4432571.87,84022.5,0.0,356042.06,0.07883
2009-01-01,C,3969618.69,3865451.19,92331.25,11836.25,569385.44,0.143436
2009-01-01,D,2547798.1,2318978.1,171700.0,57120.0,542100.65,0.212772
2009-01-01,E,1051353.45,1004603.45,46750.0,0.0,279433.16,0.265784
2009-01-01,F,321296.2,321296.2,0.0,0.0,105763.43,0.329177
2009-01-01,G,58558.5,58558.5,0.0,0.0,22257.25,0.380086
2009-02-01,A,2463911.86,2463911.86,0.0,0.0,78927.63,0.032033
2009-02-01,B,4695938.99,4551842.74,131091.25,13005.0,382023.03,0.081352
2009-02-01,C,4683305.2,4538890.2,129773.75,14641.25,673716.51,0.143855
2009-02-01,D,2915374.31,2671084.31,160990.0,83300.0,627467.98,0.215227
2009-02-01,E,1268050.72,1221300.72,46750.0,0.0,337260.56,0.265968
2009-02-01,F,333119.5,333119.5,0.0,0.0,109655.4,0.329177
2009-02-01,G,38391.61,38391.61,0.0,0.0,14592.1,0.380086
2009-03-01,A,2976979.47,2976979.47,0.0,0.0,95362.96,0.032033
2009-03-01,B,4972056.68,4827960.43,131091.25,13005.0,403154.63,0.081084
2009-03-01,C,5633226.45,5488811.45,129773.75,14641.25,806864.01,0.143233
2009-03-01,D,3445649.31,3201359.31,160990.0,83300.0,733749.67,0.21295
2009-03-01,E,1550450.72,1503700.72,46750.0,0.0,412621.26,0.26613
2009-03-01,F,370243.72,370243.72,0.0,0.0,121875.85,0.329177
2009-03-01,G,38391.61,38391.61,0.0,0.0,14592.1,0.380086
2009-04-01,A,3495305.43,3495305.43,0.0,0.0,111966.74,0.032033
2009-04-01,B,5285441.77,5107600.52,134236.25,43605.0,442678.97,0.083754
2009-04-01,C,6229012.65,6037911.4,151873.75,39227.5,904017.3,0.14513
2009-04-01,D,3876442.01,3567233.26,179243.75,129965.0,842074.57,0.217229
2009-04-01,E,1782490.47,1681106.72,80133.75,21250.0,482801.98,0.270858
2009-04-01,F,410305.51,404780.51,5525.0,0.0,134652.74,0.328177
2009-04-01,G,57175.76,36775.76,20400.0,0.0,19412.7,0.339527
2009-05-01,A,3931281.19,3922356.19,8925.0,0.0,127302.62,0.032382
2009-05-01,B,6317211.32,6116866.32,156740.0,43605.0,524422.07,0.083015
2009-05-01,C,6832954.05,6620602.8,166748.75,45602.5,992924.92,0.145314
2009-05-01,D,4175018.43,3844814.68,174313.75,155890.0,913671.23,0.218842
2009-05-01,E,1882153.75,1780770.0,58883.75,42500.0,518976.29,0.275735
2009-05-01,F,487121.14,475539.89,11581.25,0.0,159488.68,0.327411
2009-05-01,G,56814.8,36414.8,20400.0,0.0,19275.51,0.339269
2009-06-01,A,4459941.21,4444216.21,15725.0,0.0,145281.29,0.032575
2009-06-01,B,7284627.1,7084282.1,126947.5,73397.5,609530.43,0.083674
2009-06-01,C,7394314.27,7109946.77,188700.0,95667.5,1097583.76,0.148436
2009-06-01,D,4369693.6,4004108.6,165665.0,199920.0,972643.19,0.222588
2009-06-01,E,1853955.93,1744072.18,63133.75,46750.0,513161.88,0.276793
2009-06-01,F,476859.01,449977.76,26881.25,0.0,154973.73,0.324989
2009-06-01,G,82351.31,61951.31,20400.0,0.0,28981.57,0.351926
2009-07-01,A,5031807.68,5016082.68,15725.0,0.0,163600.16,0.032513
2009-07-01,B,8319650.8,8085667.05,156336.25,77647.5,694477.75,0.083474
2009-07-01,C,8182265.79,7814853.29,271745.0,95667.5,1214542.61,0.148436
2009-07-01,D,4689749.36,4298834.36,181645.0,209270.0,1041570.57,0.222095
2009-07-01,E,2030448.04,1878914.29,104783.75,46750.0,559254.44,0.275434
