month_date,grade,dpd_bucket,balance,count,gco_amount,recovery_amount,nco_amount
2010-08-01,B,60+,95476.25,14,0.0,0.0,0.0
2010-08-01,B,90+,40120.0,6,0.0,0.0,0.0
2010-08-01,B,120+,120232.5,16,0.0,0.0,0.0
2010-08-01,B,150+,88357.5,11,0.0,0.0,0.0
2010-08-01,B,180+,93500.0,9,0.0,0.0,0.0
2010-08-01,B,GCO,714658.75,73,607459.94,103268.19,504191.75
2010-09-01,B,Current,35665993.7,4289,0.0,0.0,0.0
2010-09-01,B,30+,83045.0,11,0.0,0.0,0.0
2010-09-01,B,60+,159630.0,14,0.0,0.0,0.0
2010-09-01,B,90+,123080.0,15,0.0,0.0,0.0
2010-09-01,B,120+,29155.0,6,0.0,0.0,0.0
2010-09-01,B,150+,93712.5,13,0.0,0.0,0.0
2010-09-01,B,180+,133067.5,16,0.0,0.0,0.0
2010-09-01,B,GCO,808158.75,82,686934.94,116778.94,570156.0
2010-10-01,B,Current,38205130.68,4584,0.0,0.0,0.0
2010-10-01,B,30+,132706.25,17,0.0,0.0,0.0
2010-10-01,B,60+,112795.0,11,0.0,0.0,0.0
2010-10-01,B,90+,139208.75,14,0.0,0.0,0.0
2010-10-01,B,120+,95476.25,14,0.0,0.0,0.0
2010-10-01,B,150+,40120.0,6,0.0,0.0,0.0
2010-10-01,B,180+,120232.5,16,0.0,0.0,0.0
2010-10-01,B,GCO,896516.25,93,762038.81,129546.6,632492.21
2010-11-01,B,Current,39590842.14,4885,0.0,0.0,0.0
2010-11-01,B,30+,133747.5,15,0.0,0.0,0.0
2010-11-01,B,60+,124206.25,14,0.0,0.0,0.0
2010-11-01,B,90+,79645.0,11,0.0,0.0,0.0
2010-11-01,B,120+,167280.0,15,0.0,0.0,0.0
2010-11-01,B,150+,123080.0,15,0.0,0.0,0.0
2010-11-01,B,180+,29155.0,6,0.0,0.0,0.0
2010-11-01,B,GCO,1034938.75,111,879697.94,149548.65,730149.29
2010-12-01,B,Current,41717573.39,5188,0.0,0.0,0.0
2010-12-01,B,30+,249071.25,27,0.0,0.0,0.0
2010-12-01,B,60+,126947.5,13,0.0,0.0,0.0
2010-12-01,B,90+,132706.25,17,0.0,0.0,0.0
2010-12-01,B,120+,112795.0,11,0.0,0.0,0.0
2010-12-01,B,150+,139208.75,14,0.0,0.0,0.0
2010-12-01,B,180+,95476.25,14,0.0,0.0,0.0
2010-12-01,B,GCO,1056868.75,115,898338.44,152717.53,745620.9
2011-01-01,B,Current,43973397.37,5521,0.0,0.0,0.0
2011-01-01,B,30+,200940.0,20,0.0,0.0,0.0
2011-01-01,B,60+,253831.25,27,0.0,0.0,0.0
2011-01-01,B,90+,133747.5,15,0.0,0.0,0.0
2011-01-01,B,120+,124206.25,14,0.0,0.0,0.0
2011-01-01,B,150+,79645.0,11,0.0,0.0,0.0
2011-01-01,B,180+,162180.0,14,0.0,0.0,0.0
2011-01-01,B,GCO,1192273.75,133,1013432.69,172283.56,841149.13
2011-02-01,B,Current,46133878.1,5823,0.0,0.0,0.0
2011-02-01,B,30+,89951.25,11,0.0,0.0,0.0
2011-02-01,B,60+,223465.0,22,0.0,0.0,0.0
2011-02-01,B,90+,229096.25,25,0.0,0.0,0.0
2011-02-01,B,120+,118745.0,15,0.0,0.0,0.0
2011-02-01,B,150+,106590.0,11,0.0,0.0,0.0
2011-02-01,B,180+,149323.75,17,0.0,0.0,0.0
2011-02-01,B,GCO,1357003.75,148,1153453.19,196087.04,957366.15
2011-03-01,B,Current,49882332.45,6238,0.0,0.0,0.0
2011-03-01,B,30+,85701.25,10,0.0,0.0,0.0
2011-03-01,B,60+,227715.0,23,0.0,0.0,0.0
2011-03-01,B,90+,218896.25,24,0.0,0.0,0.0
2011-03-01,B,120+,122315.0,15,0.0,0.0,0.0
2011-03-01,B,150+,113220.0,12,0.0,0.0,0.0
2011-03-01,B,180+,149323.75,17,0.0,0.0,0.0
2011-03-01,B,GCO,1357003.75,148,1153453.19,196087.04,957366.15
2011-04-01,B,Current,53436368.8,6651,0.0,0.0,0.0
2011-04-01,B,30+,114622.5,16,0.0,0.0,0.0
2011-04-01,B,60+,85701.25,10,0.0,0.0,0.0
2011-04-01,B,90+,197263.75,20,0.0,0.0,0.0
2011-04-01,B,120+,171423.75,21,0.0,0.0,0.0
2011-04-01,B,150+,180221.25,17,0.0,0.0,0.0
2011-04-01,B,180+,127287.5,15,0.0,0.0,0.0
2011-04-01,B,GCO,1512277.5,166,1285435.88,218524.1,1066911.78
2011-05-01,B,Current,56737351.77,7055,0.0,0.0,0.0
2011-05-01,B,30+,149175.0,16,0.0,0.0,0.0
2011-05-01,B,60+,95625.0,13,0.0,0.0,0.0
2011-05-01,B,90+,85701.25,10,0.0,0.0,0.0
2011-05-01,B,120+,227715.0,23,0.0,0.0,0.0
2011-05-01,B,150+,218896.25,24,0.0,0.0,0.0
2011-05-01,B,180+,122315.0,15,0.0,0.0,0.0
2011-05-01,B,GCO,1619547.5,177,1376615.38,234024.61,1142590.76
2011-06-01,B,Current,60216222.86,7560,0.0,0.0,0.0
2011-06-01,B,30+,201301.25,25,0.0,0.0,0.0
2011-06-01,B,60+,130177.5,13,0.0,0.0,0.0
2011-06-01,B,90+,113326.25,15,0.0,0.0,0.0
2011-06-01,B,120+,86997.5,11,0.0,0.0,0.0
2011-06-01,B,150+,193013.75,19,0.0,0.0,0.0
2011-06-01,B,180+,155061.25,20,0.0,0.0,0.0
2011-06-01,B,GCO,1840398.75,200,1564338.94,265937.62,1298401.32
2011-07-01,B,Current,64675153.38,8105,0.0,0.0,0.0
2011-07-01,B,30+,107185.0,15,0.0,0.0,0.0
2011-07-01,B,60+,176098.75,22,0.0,0.0,0.0
2011-07-01,B,90+,149175.0,16,0.0,0.0,0.0
2011-07-01,B,120+,95625.0,13,0.0,0.0,0.0
2011-07-01,B,150+,85701.25,10,0.0,0.0,0.0
2011-07-01,B,180+,227715.0,23,0.0,0.0,0.0
2011-07-01,B,GCO,1960758.75,216,1666644.94,283329.64,1383315.3
2011-08-01,B,Current,68199542.88,8627,0.0,0.0,0.0
2011-08-01,B,30+,209567.5,26,0.0,0.0,0.0
2011-08-01,B,60+,110457.5,17,0.0,0.0,0.0
2011-08-01,B,90+,201301.25,25,0.0,0.0,0.0
2011-08-01,B,120+,130177.5,13,0.0,0.0,0.0
2011-08-01,B,150+,113326.25,15,0.0,0.0,0.0
2011-08-01,B,180+,86997.5,11,0.0,0.0,0.0
2011-08-01,B,GCO,2188473.75,239,1860202.69,316234.46,1543968.23
2011-09-01,B,Current,73432853.89,9227,0.0,0.0,0.0
2011-09-01,B,30+,150237.5,18,0.0,0.0,0.0
2011-09-01,B,60+,199027.5,28,0.0,0.0,0.0
2011-09-01,B,90+,145817.5,20,0.0,0.0,0.0
2011-09-01,B,120+,190761.25,20,0.0,0.0,0.0
2011-09-01,B,150+,93585.0,15,0.0,0.0,0.0
2011-09-01,B,180+,128328.75,14,0.0,0.0,0.0
