vintage_year,mob,cum_defaults,cohort_size,cum_default_rate,cum_default_amount,cohort_funded,cum_loss_rate
2010,24,962,11536,0.08339112343966713,9963275.0,116706400.0,0.08537042527230726
2010,25,991,11536,0.08590499306518724,10260175.0,116706400.0,0.08791441600460644
2010,26,1032,11536,0.08945908460471567,10651700.0,116706400.0,0.09126920203176518
2010,27,1060,11536,0.09188626907073509,10879375.0,116706400.0,0.0932200376328976
2010,28,1094,11536,0.09483356449375867,11238075.0,116706400.0,0.09629356230678009
2010,29,1123,11536,0.09734743411927878,11580575.0,116706400.0,0.09922827711248056
2010,30,1157,11536,0.10029472954230235,11898100.0,116706400.0,0.10194899337140037
2010,31,1192,11536,0.10332871012482663,12243725.0,116706400.0,0.10491048477204334
2010,32,1211,11536,0.1049757281553398,12434950.0,116706400.0,0.10654899816976618
2010,33,1235,11536,0.10705617198335644,12664600.0,116706400.0,0.10851675657890227
2010,34,1262,11536,0.10939667128987518,12928400.0,116706400.0,0.11077712961757025
2010,35,1285,11536,0.11139042995839113,13145250.0,116706400.0,0.11263521109382175
2010,36,1319,11536,0.1143377253814147,13423900.0,116706400.0,0.1150228265116566
2010,37,1331,11536,0.11537794729542303,13544150.0,116706400.0,0.11605318988504486
2010,38,1343,11536,0.11641816920943135,13712875.0,116706400.0,0.11749891179918154
2010,39,1357,11536,0.11763176144244106,13887350.0,116706400.0,0.11899390264801245
2010,40,1362,11536,0.11806518723994452,13945225.0,116706400.0,0.11948980518634797
2010,41,1373,11536,0.11901872399445215,14099825.0,116706400.0,0.12081449689134444
2010,42,1386,11536,0.12014563106796117,14237200.0,116706400.0,0.12199159600501772
2010,43,1391,11536,0.12057905686546463,14284475.0,116706400.0,0.1223966723333082
2010,44,1401,11536,0.12144590846047157,14387975.0,116706400.0,0.12328351315780454
2010,45,1407,11536,0.12196601941747573,14445500.0,116706400.0,0.1237764167175065
2010,46,1415,11536,0.12265950069348128,14534500.0,116706400.0,0.12453901414146953
2010,47,1424,11536,0.12343966712898752,14636675.0,116706400.0,0.12541450168971024
2010,48,1428,11536,0.12378640776699029,14676150.0,116706400.0,0.12575274363702418
2010,49,1433,11536,0.12421983356449376,14728450.0,116706400.0,0.12620087672998226
2010,50,1442,11536,0.125,14841875.0,116706400.0,0.12717276002001604
2010,51,1452,11536,0.12586685159500693,14921600.0,116706400.0,0.12785588451018967
2010,52,1455,11536,0.12612690707350901,14953400.0,116706400.0,0.12812836314032477
2010,53,1461,11536,0.12664701803051318,15018900.0,116706400.0,0.12868960057032006
2010,54,1464,11536,0.12690707350901526,15052400.0,116706400.0,0.12897664566810388
2010,55,1470,11536,0.12742718446601942,15108400.0,116706400.0,0.1294564822494739
2010,56,1475,11536,0.12786061026352288,15174225.0,116706400.0,0.1300205044453432
2010,57,1477,11536,0.12803398058252427,15193425.0,116706400.0,0.13018501984467004
2010,58,1479,11536,0.12820735090152566,15222425.0,116706400.0,0.13043350664573666
2010,59,1480,11536,0.12829403606102635,15232025.0,116706400.0,0.13051576434540008
2010,60,1486,11536,0.1288141470180305,15279025.0,116706400.0,0.1309184843333356
2011,1,23,21721,0.0010588831085124994,255050.0,257363650.0,0.000991010191221643
2011,2,85,21721,0.00391326366189402,978050.0,257363650.0,0.003800264722698796
2011,3,157,21721,0.007228028175498366,1814000.0,257363650.0,0.0070483924206079605
2011,4,246,21721,0.011325445421481516,2883575.0,257363650.0,0.011204282345234068
2011,5,335,21721,0.015422862667464666,3870950.0,257363650.0,0.015040779845949495
2011,6,437,21721,0.02011877906173749,4952350.0,257363650.0,0.019242616430098034
2011,7,542,21721,0.024952810644077162,6419275.0,257363650.0,0.02494243068125588
2011,8,643,21721,0.0296026886423277,7655525.0,257363650.0,0.029745945085873627
2011,9,734,21721,0.033792182680355415,8845900.0,257363650.0,0.03437120976485995
