month_date,grade,ftr
2011-03-01,F,0.0004026576886945
2011-03-01,G,0.01069
2011-04-01,A,0.0003810344154099
2011-04-01,B,0.0015808506599804
2011-04-01,C,0.0044144129737706
2011-04-01,D,0.0049916045032466
2011-04-01,E,0.0024149701229999
2011-04-01,F,0.00387513875
2011-04-01,G,0.001413
2011-05-01,A,0.0005993329328571
2011-05-01,B,0.0018590255270113
2011-05-01,C,0.0023436880356879
2011-05-01,D,0.0043781911736359
2011-05-01,E,0.0046698158118645
2011-05-01,F,0.003808564312
2011-05-01,G,0.008139
2011-06-01,A,0.000545145992949
2011-06-01,B,0.0012943482884103
2011-06-01,C,0.005515887305008
2011-06-01,D,0.004837255304
2011-06-01,E,0.007888326604898
2011-06-01,F,0.0103821109368491
2011-06-01,G,0.035959
2011-07-01,A,0.0002983927916844
2011-07-01,B,0.002827386
2011-07-01,C,0.0033865436900923
2011-07-01,D,0.0039864516217443
2011-07-01,E,0.0054005903546556
2011-07-01,F,0.0013343722878
2011-07-01,G,0.018538
2011-08-01,A,0.0015200596143619
2011-08-01,B,0.0014253378473224
2011-08-01,C,0.0047073818670785
2011-08-01,D,0.0042171900084991
2011-08-01,E,0.00839708331
2011-08-01,F,0.0051008789878548
2011-08-01,G,0.0074370425150315
2011-09-01,A,0.0009287599252719
2011-09-01,B,0.0031420585878165
2011-09-01,C,0.0045122430917801
2011-09-01,D,0.0056542231108752
2011-09-01,E,0.0057139084835848
2011-09-01,F,0.0181837309035454
2011-09-01,G,0.00084463486465
2011-10-01,A,0.0006400180422031
2011-10-01,B,0.0023664229048797
2011-10-01,C,0.0059036440831095
2011-10-01,D,0.0028747215552757
2011-10-01,E,0.007578994084
2011-10-01,F,0.0142790277173165
2011-10-01,G,0.0148845783698414
2011-11-01,A,0.0008452609947955
2011-11-01,B,0.0023310935975941
2011-11-01,C,0.0024706546907388
2011-11-01,D,0.0066944023688174
2011-11-01,E,0.0063351318921105
2011-11-01,F,0.0186576363850732
2011-11-01,G,0.0085465980599999
2011-12-01,A,0.0005644173643385
2011-12-01,B,0.0020164725494445
2011-12-01,C,0.0058610207784139
2011-12-01,D,0.0076844435525176
2011-12-01,E,0.004716772777371
2011-12-01,F,0.0094617037479659
2011-12-01,G,0.0101682807838863
2012-01-01,A,0.0008630907518231
2012-01-01,B,0.0034119202256375
2012-01-01,C,0.0048795016749704
2012-01-01,D,0.0069095322112156
2012-01-01,E,0.008525466046401
2012-01-01,F,0.014367128706
2012-01-01,G,0.005990977326
2012-02-01,A,0.0006454502036493
2012-02-01,B,0.0015072725155696
2012-02-01,C,0.0026862287291928
2012-02-01,D,0.0032350033264283
2012-02-01,E,0.0028043655609207
2012-02-01,F,0.0040974342077065
2012-02-01,G,0.0005367168657593
2012-03-01,A,0.0003768389386165
2012-03-01,B,0.0019623059362365
2012-03-01,C,0.00471462606
2012-03-01,D,0.0049370236493215
2012-03-01,E,0.0060323388144895
2012-03-01,F,0.0052094034548873
2012-03-01,G,0.0120409974617315
2012-04-01,A,0.0006227236623874
2012-04-01,B,0.00112132646929
2012-04-01,C,0.0023801717682951
2012-04-01,D,0.0038370933905104
2012-04-01,E,0.0057762437436989
2012-04-01,F,0.0071800824487224
2012-04-01,G,0.0028788688749822
2012-05-01,A,0.000805465388584
2012-05-01,B,0.00256478112
2012-05-01,C,0.0039782367387725
2012-05-01,D,0.0066404462491125
2012-05-01,E,0.0065646494921558
2012-05-01,F,0.0034914715986352
2012-05-01,G,0.02155141989
2012-06-01,A,0.00206325045416
2012-06-01,B,0.0029863783658289
