month_date,total_balance,total_ecl,alll_ratio
2018-05-01,8101127369.110001,2461098163.41,0.3037969965506639
2018-06-01,7876754785.67,2485375539.33,0.3155329329093229
2018-07-01,7783515057.08,2504900377.05,0.3218212284142119
2018-08-01,7537453233.509999,2526255266.5,0.3351603238171718
2018-09-01,7292822041.650001,2545325811.06,0.349017951695983
2018-10-01,7182364586.1,2558100949.75,0.35616417394080524
2018-11-01,6950480958.68,2576892198.37,0.3707501989703156
2018-12-01,6832915592.3,2582830903.64,0.3779983623024097
2019-01-01,6596625868.91,2596505965.58,0.3936112214302425
2019-02-01,6386331382.01,2601421041.6200004,0.40734200685985117
2019-03-01,6377811061.45,2601775005.55,0.40794168727828145
2019-04-01,6195677076.610001,2603339364.2200003,0.42018641901918363
2019-05-01,6058144352.54,2602352521.15,0.42956264653200465
2019-06-01,5888792306.809999,2593166638.52,0.44035627398867067
2019-07-01,5767560790.59,2583982634.94,0.4480200085893968
2019-08-01,5606436341.69,2567136630.9,0.4578909800171145
2019-09-01,5444376843.66,2547335390.53,0.4678837383375442
2019-10-01,5343267916.88,2534552193.94,0.47434495768648566
2019-11-01,5192085769.18,2514449581.47,0.4842850625457047
2019-12-01,5100670521.95,2501987765.21,0.49052134507474193
2020-01-01,4960714244.37,2482933697.84,0.5005193961046889
2020-02-01,4839276112.9,2466169038.48,0.5096152773564548
2020-03-01,4802322963.870001,2460919340.81,0.512443531875008
2020-04-01,4681593238.4,2443995171.21,0.5220434682713422
2020-05-01,4614639655.76,2434701410.7200003,0.527603798420317
2020-06-01,4510798694.9800005,2420023077.7799997,0.5364954726251044
2020-07-01,4451887262.72,2411727405.89,0.54173146433553
2020-08-01,4359524976.58,2398481309.51,0.5501703333264495
2020-09-01,4276000183.2200003,2386526734.41,0.5581212890905092
2020-10-01,4224859699.15,2379120809.62,0.5631242169056301
2020-11-01,4156828493.66,2369274727.5099998,0.5699717299194856
2020-12-01,4112753922.85,2362811837.53,0.574508439321517
2021-01-01,4056421919.41,2354365275.0,0.5804044356762668
2021-02-01,4010192940.38,2347500684.42,0.585383476386439
2021-03-01,4004908339.67,2346869690.35,0.5859983528470415
2021-04-01,3957395098.29,2339753181.29,0.5912356798291414
2021-05-01,3928493384.59,2335166717.33,0.5944178820537103
2021-06-01,3889416902.55,2329023313.1,0.5988104056351051
2021-07-01,3865468404.29,2325140181.96,0.6015157643972714
2021-08-01,3832324973.11,2319796936.59,0.6053236489251702
2021-09-01,3801018215.1899996,2314695630.1,0.6089672553658879
2021-10-01,3781574488.73,2311429260.61,0.6112346239638051
2021-11-01,3754629050.1,2306942563.78,0.6144262277304219
2021-12-01,3737885686.35,2304143021.25,0.6164295044292721
2022-01-01,3715436126.8,2300364233.02,0.6191370688429082
2022-02-01,3696789439.55,2297235351.9500003,0.6214136318863852
2022-03-01,3695153671.12,2296955943.86,0.6216131041618611
2022-04-01,3676358957.23,2293863381.36,0.6239497851124801
2022-05-01,3663620927.42,2291743097.56,0.6255404538192477
2022-06-01,3646770904.81,2288962702.8,0.6276683571707001
2022-07-01,3635972859.65,2287181333.2400002,0.6290424658065696
2022-08-01,3622531471.81,2285004704.87,0.6307756668648888
2022-09-01,3609760854.39,2282946035.13,0.6324369195686751
2022-10-01,3601252419.04,2281585323.45,0.6335532914569235
2022-11-01,3590890147.71,2279960024.38,0.6349289258636852
2022-12-01,3584528009.65,2278950947.05,0.6357743448830021
2023-01-01,3577110996.97,2277798195.88,0.6367703428295668
2023-02-01,3571323352.19,2276900339.35,0.6375508781510258
2023-03-01,3570634971.35,2276791738.27,0.6376433761889644
2023-04-01,3565565108.35,2276008421.39,0.6383303493911643
2023-05-01,3562580897.36,2275536902.39,0.638732696309087
2023-06-01,3559095962.23,2275008837.43,0.6392097492096173
2023-07-01,3557231793.93,2274714104.34,0.6394618726340897
2023-08-01,3555357777.34,2274428830.9300003,0.6397186931301333
2023-09-01,3553674608.2000003,2274160926.7,0.6399463027516475
2023-10-01,3552989958.48,2274055196.53,0.6400398602597968
