vintage_year,grade,mob,defaults_at_mob,active_at_mob,marginal_pd
2008,A,47,0,0,0.0
2008,A,48,0,0,0.0
2008,A,49,0,0,0.0
2008,A,50,0,0,0.0
2008,A,51,0,0,0.0
2008,A,52,0,0,0.0
2008,A,53,0,0,0.0
2008,A,54,0,0,0.0
2008,A,55,0,0,0.0
2008,A,56,0,0,0.0
2008,A,57,0,0,0.0
2008,B,1,0,507,0.0
2008,B,2,1,505,0.0019801980198019802
2008,B,3,3,502,0.00597609561752988
2008,B,4,3,492,0.006097560975609756
2008,B,5,2,487,0.004106776180698152
2008,B,6,4,482,0.008298755186721992
2008,B,7,2,474,0.004219409282700422
2008,B,8,2,466,0.004291845493562232
2008,B,9,2,459,0.004357298474945534
2008,B,10,3,456,0.006578947368421052
2008,B,11,0,449,0.0
2008,B,12,3,444,0.006756756756756757
2008,B,13,5,432,0.011574074074074073
2008,B,14,3,422,0.0071090047393364926
2008,B,15,6,416,0.014423076923076924
2008,B,16,1,407,0.002457002457002457
2008,B,17,3,401,0.007481296758104738
2008,B,18,2,394,0.005076142131979695
2008,B,19,4,386,0.010362694300518135
2008,B,20,2,378,0.005291005291005291
2008,B,21,4,372,0.010752688172043012
2008,B,22,6,364,0.016483516483516484
2008,B,23,2,351,0.005698005698005698
2008,B,24,1,342,0.0029239766081871343
2008,B,25,3,331,0.00906344410876133
2008,B,26,2,322,0.006211180124223602
2008,B,27,1,311,0.003215434083601286
2008,B,28,0,296,0.0
2008,B,29,1,287,0.003484320557491289
2008,B,30,0,281,0.0
2008,B,31,0,274,0.0
2008,B,32,2,261,0.007662835249042145
2008,B,33,0,256,0.0
2008,B,34,1,248,0.004032258064516129
2008,B,35,0,236,0.0
2008,B,36,0,222,0.0
2008,B,37,0,76,0.0
2008,B,38,0,8,0.0
2008,B,39,0,5,0.0
2008,B,40,0,5,0.0
2008,B,41,0,5,0.0
2008,B,42,0,3,0.0
2008,B,43,0,3,0.0
2008,B,44,0,2,0.0
2008,B,45,0,1,0.0
2008,B,46,0,1,0.0
2008,B,47,0,1,0.0
2008,B,48,0,1,0.0
2008,B,49,0,1,0.0
2008,B,50,0,0,0.0
2008,B,51,0,0,0.0
2008,B,52,0,0,0.0
2008,B,53,0,0,0.0
2008,B,54,0,0,0.0
2008,B,55,0,0,0.0
2008,B,56,0,0,0.0
2008,B,57,0,0,0.0
2008,C,1,2,438,0.0045662100456621
2008,C,2,0,433,0.0
2008,C,3,0,431,0.0
2008,C,4,2,429,0.004662004662004662
2008,C,5,2,422,0.004739336492890996
2008,C,6,2,417,0.004796163069544364
2008,C,7,4,412,0.009708737864077669
2008,C,8,2,405,0.0049382716049382715
2008,C,9,2,400,0.005
2008,C,10,5,396,0.012626262626262626
2008,C,11,2,388,0.005154639175257732
2008,C,12,4,382,0.010471204188481676
2008,C,13,2,378,0.005291005291005291
2008,C,14,6,373,0.0160857908847185
2008,C,15,2,362,0.0055248618784530384
2008,C,16,4,355,0.011267605633802818
2008,C,17,4,348,0.011494252873563218
2008,C,18,2,337,0.005934718100890208
2008,C,19,4,332,0.012048192771084338
2008,C,20,2,323,0.006191950464396285
2008,C,21,4,316,0.012658227848101266
2008,C,22,3,307,0.009771986970684038
2008,C,23,2,301,0.006644518272425249
2008,C,24,3,295,0.010169491525423728
2008,C,25,3,288,0.010416666666666666
2008,C,26,0,282,0.0
2008,C,27,0,278,0.0
2008,C,28,0,273,0.0
2008,C,29,2,263,0.0076045627376425855
2008,C,30,1,256,0.00390625
2008,C,31,0,245,0.0
2008,C,32,1,239,0.0041841004184100415
2008,C,33,1,234,0.004273504273504274
2008,C,34,2,229,0.008733624454148471
2008,C,35,2,216,0.009259259259259259
2008,C,36,0,206,0.0
2008,C,37,0,80,0.0
2008,C,38,0,12,0.0
2008,C,39,0,8,0.0
2008,C,40,1,6,0.16666666666666666
2008,C,41,0,4,0.0
2008,C,42,0,4,0.0
2008,C,43,0,3,0.0
2008,C,44,0,3,0.0
2008,C,45,0,3,0.0
2008,C,46,0,3,0.0
2008,C,47,0,3,0.0
2008,C,48,0,3,0.0
2008,C,49,0,3,0.0
2008,C,50,0,2,0.0
2008,C,51,0,1,0.0
2008,C,52,0,1,0.0
2008,C,53,0,1,0.0
2008,C,54,0,1,0.0
2008,C,55,0,1,0.0
2008,C,56,0,1,0.0
2008,C,57,0,1,0.0
2008,D,1,1,222,0.0045045045045045045
2008,D,2,2,221,0.00904977375565611
2008,D,3,2,218,0.009174311926605505
2008,D,4,2,215,0.009302325581395349
2008,D,5,2,212,0.009433962264150943
2008,D,6,1,208,0.004807692307692308
2008,D,7,3,207,0.014492753623188406
2008,D,8,3,202,0.01485148514851485
2008,D,9,1,197,0.005076142131979695
2008,D,10,2,196,0.01020408163265306
2008,D,11,4,194,0.020618556701030927
2008,D,12,2,189,0.010582010582010581
2008,D,13,0,184,0.0
2008,D,14,0,184,0.0
2008,D,15,2,184,0.010869565217391304
2008,D,16,2,182,0.01098901098901099
2008,D,17,3,179,0.01675977653631285
2008,D,18,3,174,0.017241379310344827
2008,D,19,2,171,0.011695906432748537
2008,D,20,1,166,0.006024096385542169
2008,D,21,2,165,0.012121212121212121
2008,D,22,3,158,0.0189873417721519
2008,D,23,3,154,0.01948051948051948
2008,D,24,2,150,0.013333333333333334
2008,D,25,1,147,0.006802721088435374
2008,D,26,0,143,0.0
2008,D,27,0,141,0.0
2008,D,28,0,138,0.0
2008,D,29,2,133,0.015037593984962405
2008,D,30,0,130,0.0
2008,D,31,1,129,0.007751937984496124
2008,D,32,0,123,0.0
2008,D,33,1,119,0.008403361344537815
2008,D,34,1,115,0.008695652173913044
2008,D,35,0,109,0.0
2008,D,36,0,103,0.0
2008,D,37,0,32,0.0
2008,D,38,0,4,0.0
2008,D,39,0,2,0.0
2008,D,40,0,2,0.0
2008,D,41,0,2,0.0
2008,D,42,0,2,0.0
2008,D,43,0,2,0.0
2008,D,44,0,2,0.0
2008,D,45,0,1,0.0
2008,D,46,0,1,0.0
2008,D,47,0,0,0.0
2008,D,48,0,0,0.0
2008,D,49,0,0,0.0
2008,D,50,0,0,0.0
2008,D,51,0,0,0.0
2008,D,52,0,0,0.0
2008,D,53,0,0,0.0
2008,D,54,0,0,0.0
2008,D,55,0,0,0.0
2008,D,56,0,0,0.0
2008,D,57,0,0,0.0
2008,E,1,0,75,0.0
2008,E,2,0,75,0.0
2008,E,3,0,75,0.0
2008,E,4,0,75,0.0
2008,E,5,1,74,0.013513513513513514
2008,E,6,0,73,0.0
2008,E,7,0,73,0.0
2008,E,8,0,72,0.0
2008,E,9,2,70,0.02857142857142857
2008,E,10,2,66,0.030303030303030304
2008,E,11,0,64,0.0
2008,E,12,2,64,0.03125
2008,E,13,0,60,0.0
2008,E,14,0,59,0.0
2008,E,15,1,58,0.017241379310344827
2008,E,16,0,57,0.0
2008,E,17,0,56,0.0
2008,E,18,1,55,0.01818181818181818
2008,E,19,0,53,0.0
2008,E,20,0,53,0.0
2008,E,21,1,53,0.018867924528301886
2008,E,22,0,51,0.0
2008,E,23,0,50,0.0
2008,E,24,0,50,0.0
2008,E,25,0,49,0.0
2008,E,26,0,48,0.0
2008,E,27,0,46,0.0
2008,E,28,1,44,0.022727272727272728
2008,E,29,0,43,0.0
2008,E,30,0,43,0.0
2008,E,31,0,43,0.0
2008,E,32,0,42,0.0
2008,E,33,0,41,0.0
2008,E,34,0,40,0.0
2008,E,35,0,40,0.0
2008,E,36,0,40,0.0
2008,E,37,1,13,0.07692307692307693
2008,E,38,0,2,0.0
2008,E,39,0,1,0.0
2008,E,40,0,1,0.0
2008,E,41,0,1,0.0
2008,E,42,0,1,0.0
2008,E,43,0,1,0.0
2008,E,44,0,0,0.0
2008,E,45,0,0,0.0
2008,E,46,0,0,0.0
2008,E,47,0,0,0.0
2008,E,48,0,0,0.0
2008,E,49,0,0,0.0
2008,E,50,0,0,0.0
2008,E,51,0,0,0.0
2008,E,52,0,0,0.0
2008,E,53,0,0,0.0
2008,E,54,0,0,0.0
2008,E,55,0,0,0.0
2008,E,56,0,0,0.0
2008,E,57,0,0,0.0
2008,F,1,0,21,0.0
2008,F,2,0,21,0.0
2008,F,3,0,21,0.0
2008,F,4,0,21,0.0
2008,F,5,0,21,0.0
2008,F,6,0,21,0.0
2008,F,7,0,21,0.0
2008,F,8,1,21,0.047619047619047616
2008,F,9,1,20,0.05
2008,F,10,1,19,0.05263157894736842
2008,F,11,0,18,0.0
2008,F,12,0,18,0.0
2008,F,13,0,18,0.0
2008,F,14,2,18,0.1111111111111111
2008,F,15,0,16,0.0
2008,F,16,0,16,0.0
2008,F,17,1,16,0.0625
2008,F,18,1,15,0.06666666666666667
2008,F,19,0,14,0.0
2008,F,20,0,14,0.0
2008,F,21,0,14,0.0
2008,F,22,1,14,0.07142857142857142
2008,F,23,0,13,0.0
2008,F,24,0,13,0.0
2008,F,25,0,13,0.0
2008,F,26,0,12,0.0
2008,F,27,0,12,0.0
2008,F,28,0,12,0.0
2008,F,29,0,12,0.0
2008,F,30,1,12,0.08333333333333333
2008,F,31,0,11,0.0
2008,F,32,0,11,0.0
2008,F,33,0,11,0.0
2008,F,34,0,11,0.0
2008,F,35,0,10,0.0
2008,F,36,1,10,0.1
2008,F,37,0,4,0.0
2008,F,38,0,0,0.0
2008,F,39,0,0,0.0
2008,F,40,0,0,0.0
2008,F,41,0,0,0.0
2008,F,42,0,0,0.0
2008,F,43,0,0,0.0
2008,F,44,0,0,0.0
2008,F,45,0,0,0.0
2008,F,46,0,0,0.0
2008,F,47,0,0,0.0
2008,F,48,0,0,0.0
2008,F,49,0,0,0.0
2008,F,50,0,0,0.0
2008,F,51,0,0,0.0
2008,F,52,0,0,0.0
2008,F,53,0,0,0.0
2008,F,54,0,0,0.0
2008,F,55,0,0,0.0
2008,F,56,0,0,0.0
2008,F,57,0,0,0.0
2008,G,1,0,4,0.0
2008,G,2,0,4,0.0
2008,G,3,1,4,0.25
2008,G,4,0,3,0.0
2008,G,5,0,3,0.0
2008,G,6,0,3,0.0
2008,G,7,0,3,0.0
2008,G,8,0,3,0.0
2008,G,9,0,3,0.0
2008,G,10,0,3,0.0
2008,G,11,0,3,0.0
2008,G,12,0,3,0.0
2008,G,13,0,3,0.0
2008,G,14,0,3,0.0
2008,G,15,0,3,0.0
2008,G,16,0,3,0.0
2008,G,17,0,3,0.0
2008,G,18,0,3,0.0
2008,G,19,0,3,0.0
2008,G,20,0,3,0.0
2008,G,21,0,3,0.0
2008,G,22,0,3,0.0
2008,G,23,0,3,0.0
2008,G,24,0,3,0.0
2008,G,25,0,3,0.0
2008,G,26,0,3,0.0
2008,G,27,0,3,0.0
2008,G,28,0,3,0.0
2008,G,29,0,3,0.0
2008,G,30,1,3,0.3333333333333333
2008,G,31,0,2,0.0
2008,G,32,0,2,0.0
2008,G,33,0,1,0.0
2008,G,34,0,1,0.0
2008,G,35,0,1,0.0
2008,G,36,0,1,0.0
2008,G,37,0,1,0.0
2008,G,38,0,1,0.0
2008,G,39,0,1,0.0
2008,G,40,0,1,0.0
